# maelstrom - GimmeMotifs version 0.16.1
# method: mwu with motif score
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/Diff_ATAC_maelstrom.out/motif.nr.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	ATAC_gain	ATAC_loss
GM.5.0.bHLH.0058	0.303615764824773	-0.0
GM.5.0.Unknown.0189	-0.0	0.04344903426922131
GM.5.0.Paired_box.0016	-0.0	0.39592041516445386
GM.5.0.Unknown.0046	0.13699814836339674	-0.0
GM.5.0.Mixed.0073	1.0273857940818656	-0.0
GM.5.0.C2H2_ZF.0254	0.02958694860474273	-0.0
GM.5.0.C2H2_ZF.0003	-0.0	0.1799488109506135
GM.5.0.STAT.0015	-0.0	0.6094533458475984
GM.5.0.Grainyhead.0007	-0.0	1.2970020949767826
GM.5.0.Unknown.0036	-0.0	0.04390474005118709
GM.5.0.Homeodomain.0192	0.056298093046687044	-0.0
GM.5.0.Nuclear_receptor.0086	-0.0	0.4868480759243927
GM.5.0.Grainyhead.0011	-0.0	0.2264534472412822
GM.5.0.Sox.0028	-0.0	2.5348166200530606
GM.5.0.C2H2_ZF.0170	0.03275394561936	-0.0
GM.5.0.bZIP.0102	-0.0	5.130863175417293
GM.5.0.C2H2_ZF.0104	-0.0	0.8237294798440793
GM.5.0.HSF.0006	-0.0	0.5994552381543812
GM.5.0.Unknown.0181	-0.0	0.2484508525257922
GM.5.0.Homeodomain_POU.0025	0.159839363875103	-0.0
GM.5.0.Homeodomain.0098	0.7705784334501216	-0.0
GM.5.0.C2H2_ZF.0255	-0.0	0.21237308434161967
GM.5.0.C2H2_ZF.0249	-0.0	2.662968749799081
GM.5.0.Paired_box.0022	-0.0	0.33312970890131777
GM.5.0.AT_hook.0006	-0.0	1.6932481520997964
GM.5.0.bHLH.0056	0.0529626370040656	-0.0
GM.5.0.C2H2_ZF.0189	-0.0	0.3553987118202948
GM.5.0.Homeodomain.0030	-0.0	0.07473373670293158
GM.5.0.Homeodomain.0076	0.8941674252269795	-0.0
GM.5.0.CUT_Homeodomain.0006	-0.0	0.14127933039914348
GM.5.0.Unknown.0173	-0.0	0.24576957384804837
GM.5.0.bZIP.0006	-0.0	0.2264534472412822
GM.5.0.C2H2_ZF.0039	-0.0	0.9609701206321373
GM.5.0.C2H2_ZF.0112	-0.0	0.6950764445483094
GM.5.0.GATA.0030	-0.0	1.1532565736559355
GM.5.0.C2H2_ZF.0230	-0.0	0.05332068885859851
GM.5.0.Mixed.0050	-0.0	1.1326277340830924
GM.5.0.Mixed.0042	-0.0	1.1247143595849114
GM.5.0.Unknown.0098	-0.0	1.8913962220721008
GM.5.0.Unknown.0185	-0.0	1.019691224143912
GM.5.0.bZIP.0026	-0.0	0.5095208840176075
GM.5.0.CxxC.0001	0.13699814836339674	-0.0
GM.5.0.Homeodomain.0151	-0.0	0.10524490607712088
GM.5.0.Unknown.0011	0.2824363535845717	-0.0
GM.5.0.Mixed.0056	-0.0	2.0804176465571556
GM.5.0.Mixed.0105	-0.0	0.5541176434948054
GM.5.0.Unknown.0009	1.2314133110650896	-0.0
GM.5.0.Nuclear_receptor.0140	-0.0	0.9208121316618119
GM.5.0.Unknown.0109	-0.0	1.019691224143912
GM.5.0.MADS_box.0008	-0.0	0.08321538439005109
GM.5.0.Forkhead.0020	-0.0	0.9330814966705042
GM.5.0.Unknown.0077	-0.0	1.6303080050028251
GM.5.0.T-box.0007	-0.0	1.170663992018785
GM.5.0.Homeodomain.0086	0.4212078262948846	-0.0
GM.5.0.bHLH.0100	-0.0	0.6547815022833848
GM.5.0.bZIP.0021	-0.0	3.1456166537576453
GM.5.0.C2H2_ZF.0209	-0.0	1.4224553040616947
GM.5.0.Unknown.0103	0.02958694860474273	-0.0
GM.5.0.DM.0009	0.03275394561936	-0.0
GM.5.0.C2H2_ZF.0298	-0.0	0.21240942697228263
GM.5.0.Unknown.0198	-0.0	0.12331942804170387
GM.5.0.Unknown.0183	-0.0	1.5675674858107604
