# maelstrom - GimmeMotifs version 0.16.1
# method: mwu with motif score
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/K4me3_at_FOXG1_peaks_maelstrom.out/motif.nr.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	cluster_1	cluster_2	cluster_3
GM.5.0.Homeodomain.0108	-0.0	2.1726939569844443	0.2665704325628904
GM.5.0.C2H2_ZF.0181	16.102612840313938	-0.0	-0.0
GM.5.0.Unknown.0042	-0.0	9.408590510064098	-0.0
GM.5.0.bHLH.0109	3.254198699919297	0.2907229264596104	-0.0
GM.5.0.Mixed.0017	2.349205464957357	-0.0	-0.0
GM.5.0.SAND.0006	96.16677936652232	-0.0	-0.0
GM.5.0.Unknown.0202	-0.0	3.169939794618629	3.9189998904613237
GM.5.0.Ets.0032	90.19286268043722	-0.0	-0.0
GM.5.0.Paired_box.0020	-0.0	-0.0	5.8076719662133565
GM.5.0.Forkhead.0024	-0.0	0.3754899216547563	1.752151555625951
GM.5.0.Runt.0006	151.9050216576426	-0.0	-0.0
GM.5.0.RFX.0012	-0.0	0.03696827991460155	0.005014848927210816
GM.5.0.C2H2_ZF.0132	121.82433513969866	-0.0	-0.0
GM.5.0.Nuclear_receptor.0056	35.068296628757956	-0.0	-0.0
GM.5.0.HSF.0009	6.027596680383065	-0.0	-0.0
GM.5.0.Unknown.0072	-0.0	0.09870992694094498	0.42921175800797073
GM.5.0.C2H2_ZF.0177	30.116333068880298	-0.0	-0.0
GM.5.0.Nuclear_receptor.0095	27.895233750358337	-0.0	-0.0
GM.5.0.Homeodomain.0053	-0.0	1.022226915939807	0.4817751244389507
GM.5.0.Unknown.0065	-0.0	15.051916002540635	95.292894190006
GM.5.0.Nuclear_receptor.0059	7.763043310467531	-0.0	-0.0
GM.5.0.C2H2_ZF.0216	-0.0	6.1680566485231765	2.18491354300663
GM.5.0.Unknown.0127	-0.0	0.8996664337355447	2.2050946420813236
GM.5.0.bZIP.0084	5.503031126955698	-0.0	-0.0
GM.5.0.Mixed.0005	3.453020917804216	-0.0	-0.0
GM.5.0.C2H2_ZF.0154	-0.0	0.8648326303052509	-0.0
GM.5.0.C2H2_ZF.0236	-0.0	0.5305051464507341	13.165269088220775
GM.5.0.C2H2_ZF.0178	169.4990028973118	-0.0	-0.0
GM.5.0.Forkhead.0057	28.383835668939703	-0.0	-0.0
GM.5.0.bHLH.0078	9.05536224764367	-0.0	-0.0
GM.5.0.Forkhead.0041	-0.0	0.28515288297538816	3.1827684176052884
GM.5.0.Mixed.0109	133.81349404405725	-0.0	-0.0
GM.5.0.bZIP.0075	-0.0	13.63306863002835	27.55830189930514
GM.5.0.C2H2_ZF.0283	72.89267736285427	-0.0	-0.0
GM.5.0.C2H2_ZF.0092	-0.0	8.800475850775916	1.6430440179575203
GM.5.0.C2H2_ZF.0219	-0.0	7.050268834223866	5.686631461274732
GM.5.0.Mixed.0042	13.233672999201461	-0.0	-0.0
GM.5.0.C2H2_ZF.0107	137.65067996216555	-0.0	-0.0
GM.5.0.Mixed.0035	11.357786922302887	-0.0	-0.0
GM.5.0.Nuclear_receptor.0102	2.1322170955955535	1.3103203302417026	-0.0
GM.5.0.GATA.0018	0.07914229430105493	-0.0	0.01363490382605113
GM.5.0.bZIP.0069	-0.0	2.900916585239349	2.821015901978705
GM.5.0.Homeodomain_POU.0018	2.10899501562543	-0.0	-0.0
GM.5.0.Mixed.0022	inf	-0.0	-0.0
GM.5.0.RFX.0007	1.2864299933072698	0.6067569957034715	-0.0
GM.5.0.bHLH.0088	44.01595466196258	-0.0	-0.0
GM.5.0.bZIP.0082	-0.0	5.7241630569613315	12.033667276930514
GM.5.0.Mixed.0105	-0.0	7.181150360413248	1.9092559384065286
GM.5.0.Nuclear_receptor.0050	7.556368684493976	-0.0	-0.0
GM.5.0.Grainyhead.0006	-0.0	12.18554629202242	3.444360345738504
GM.5.0.C2H2_ZF.0106	-0.0	-0.0	3.8389986860043805
GM.5.0.bZIP.0061	0.18649756319098412	0.26157614443790855	-0.0
GM.5.0.Unknown.0193	5.135820088266606	-0.0	-0.0
GM.5.0.STAT.0008	-0.0	11.008263458997645	2.407486719443541
GM.5.0.Mixed.0006	2.837728498582279	0.005073265448296619	-0.0
GM.5.0.CxxC.0001	117.3080819121285	-0.0	-0.0
GM.5.0.Homeodomain.0146	20.79271894236953	-0.0	-0.0
GM.5.0.C2H2_ZF.0239	8.697227066743656	-0.0	-0.0
GM.5.0.Unknown.0185	-0.0	2.447788323440066	3.260636481367779
GM.5.0.C2H2_ZF.0255	-0.0	2.1720217335298386	2.08873576198104
GM.5.0.SMAD.0018	72.80867783736863	-0.0	-0.0
GM.5.0.C2H2_ZF.0192	-0.0	3.386145806952798	1.478177899083253
GM.5.0.Homeodomain.0184	156.71106953719914	-0.0	-0.0
GM.5.0.Homeodomain.0194	9.644454084605883	1.1650925853104275	-0.0
GM.5.0.Nuclear_receptor.0082	-0.0	19.0606993821911	7.991808713401339
GM.5.0.Mixed.0050	38.24022076102481	-0.0	-0.0
GM.5.0.Grainyhead.0008	-0.0	10.840662245686044	2.289520979853118
GM.5.0.Unknown.0047	49.291906690483984	-0.0	-0.0
GM.5.0.C2H2_ZF.0012	-0.0	0.443694553676819	3.148311440703846
GM.5.0.Mixed.0031	76.78614861779609	-0.0	-0.0
GM.5.0.Paired_box.0017	10.378438430080942	-0.0	-0.0
GM.5.0.GATA.0022	-0.0	7.391365911690436	12.916832067188636
