# maelstrom - GimmeMotifs version 0.16.1
# method: rf with motif score
# motif table: /home/ia1014/gimmemotifs/output/stratified.out/motif.nr.score.txt.gz
# activity values: feature importances from fitted Random Forest model
	3' UTR	5' UTR	Distal Intergenic	Downstream (1-2kb)	Downstream (2-3kb)	Downstream (<1kb)	Exon	Intron	Promoter (1-2kb)	Promoter (2-3kb)	Promoter (<=1kb)
GM.5.0.Nuclear_receptor.0134	0.0016219765531083035	-0.0010556885782465463	-0.001307631709778439	0.0022250774448300103	-0.0013269818309587299	0.0013389825894386048	0.0014220282119656459	0.0014647047972218066	0.0010773922312725366	0.0014717291648748243	0.0010150560303079476
GM.5.0.C2H2_ZF.0281	-0.0012076374398591909	0.0024858348333979697	-0.0015234936050027303	0.0015605064621534543	0.0019955640178678804	-0.0010482197320173642	0.002109897215984743	-0.001460688221475161	0.0016435410161355953	0.001463525807430728	0.0010794515247920335
GM.5.0.C2H2_ZF.0146	-0.001712153605914811	-0.0017131651066409227	0.0014946517442425962	-0.0007450859596344409	-0.002393556705672613	0.0018199405643887798	-0.0012890475189842596	0.0015305380777603337	-0.0016810638527043854	-0.0019056092919229077	-0.001109992916539664
GM.5.0.C2H2_ZF.0181	-0.0017684793347139765	0.0010113623458621228	-0.0014999656813759917	0.0011398292735756103	0.00146489459064624	0.0016597791708688246	0.0019650047986156565	-0.0014644625519697931	0.0015513702896042094	0.0014962143166787098	0.0009433565671429148
GM.5.0.Nuclear_receptor.0065	-0.001773643963290254	-0.0014743716653675034	0.0015486003791516313	-0.0015004356818041035	-0.001700664159764582	0.0025136846673558394	-0.0018139409037333232	0.0014905304250942457	0.001760285238902423	0.0015231489549162478	-0.0009836770142256975
GM.5.0.Mixed.0047	-0.0010723859255193466	-0.0009316596594234424	0.0014490849856863492	-0.001880827833129538	-0.0016022424152528016	0.0015053308017249163	-0.0012064072958973208	0.0015180271986911889	-0.001296350328210949	-0.0013739009690927856	-0.0009503037610808794
GM.5.0.GATA.0025	-0.001150425774490583	0.0017497474827309234	0.001304604875103341	0.0013204564877168517	0.0021451317770417124	-0.0010235635546161307	0.0014020943979640324	0.0012469385112995853	-0.0011431442572445727	0.0012556496305326404	-0.000923653275649345
GM.5.0.C2H2_ZF.0233	-0.0013148017424037786	-0.0015515313276891248	0.0015384179068659825	0.001515856047325177	0.0020516251367133013	0.0017670368013437741	-0.0016939181872343309	-0.0015883194375865908	0.0016685651388674235	0.0017003476051966327	0.0010415761430040392
GM.5.0.T-box.0014	0.0011699118102933529	-0.0010734529586579908	0.0014960806945982807	-0.001413596316944108	-0.001879783429862827	0.0015830961904523993	0.0017658847029229843	0.001560588457831336	-0.001852940609738639	0.0019442919645329868	-0.0009567584475247575
GM.5.0.C2H2_ZF.0283	0.0011887426989704163	-0.001469956975354139	-0.0016779668609279226	0.0014381681778705027	0.001693876784199096	-0.0014182723916465775	-0.0015933490518975826	-0.0013811197897880185	0.001598865632872046	0.0014475412260141329	0.0037685556417897986
GM.5.0.Forkhead.0026	0.0019539668262520873	0.001811305792309128	0.0015301782616079264	-0.0018039693061723558	-0.001625918069612218	-0.0018208529460517172	0.001810175478848363	-0.0014366090416525242	-0.001631209278113847	-0.0014267645596235915	0.0010622403685523394
GM.5.0.C2H2_ZF.0138	-0.001356060463712163	0.0018736843013964083	-0.0014962808337337216	0.0020994255068797324	-0.0018329139596929519	0.0016549588180398288	-0.0012252394412233518	-0.0016014729047326385	0.0016072956746678193	0.001379045676039025	0.001037341006541652
GM.5.0.bHLH.0096	0.001627347204626507	0.0032613209904675928	0.0014970302402150498	-0.001016969308885082	0.0017120100671429014	0.0014717299802955819	-0.0015058926281273177	0.0015901117746569238	0.0017315301229841097	0.001686842873162422	-0.0011283761854891147
GM.5.0.Unknown.0040	0.0013354527091826182	-0.0010885666212372802	-0.001521166223548147	0.0028726949974529274	0.002241981776392252	0.0010813370790641503	-0.0011859285510187336	-0.0014952440827241706	0.0014246168833845427	0.0019318273365260792	0.0009297345793564424
GM.5.0.bHLH.0128	0.0014296707201744208	0.0013337130805533887	-0.0014557138550429281	0.001510654490218216	0.001528752872216873	-0.001403795734968718	-0.0015775974690401548	0.0015448623024641884	0.0018008423868295553	0.0016916993933501062	-0.0010083178911645132
GM.5.0.Unknown.0128	-0.0019276233476525622	0.001209453092193133	-0.001599603855840608	0.0012204536841906406	0.0016334854264747865	0.00220468719124505	-0.0015652974063793737	-0.0017147465873349377	0.0020776145383711118	0.001715227943614464	0.0012418656746869697
GM.5.0.bHLH.0120	0.001765002664071351	-0.0029237662521043235	0.0017765025075559492	-0.0008260029549618162	0.0006486020615737829	-0.001414519882957456	0.0017098837070449624	0.0017752717209461035	-0.00143842287471877	0.001582922930428713	-0.0015050679233951625
GM.5.0.bZIP.0060	0.0017890246533404455	-0.0013511730309707377	-0.001515800674415215	0.0021016597162913254	0.001611213315395728	0.0012120744437105508	-0.0014047790925413165	0.001623258095741595	0.0018544638199678946	-0.001495719248448425	0.0010332246093412525
