	z-score 3' UTR	z-score 5' UTR	z-score Distal Intergenic	z-score Downstream (<1kb)	z-score Downstream (1-2kb)	z-score Downstream (2-3kb)	z-score Exon	z-score Intron	z-score Promoter (<=1kb)	z-score Promoter (1-2kb)	z-score Promoter (2-3kb)	3' UTR % with motif	5' UTR % with motif	Distal Intergenic % with motif	Downstream (1-2kb) % with motif	Downstream (2-3kb) % with motif	Downstream (<1kb) % with motif	Exon % with motif	Intron % with motif	Promoter (1-2kb) % with motif	Promoter (2-3kb) % with motif	Promoter (<=1kb) % with motif
GM.5.0.TEA.0008	1.015693799860634	0.5278549476716057	1.2976421013431123	0.14236814087941846	0.2922338413102075	-0.3683939639729883	1.5275181019803554	1.092550604609201	0.33548045044739844	1.0143901094220222	-0.6637496116683507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6117563403650152	1.7191047680830358	0.025158815019812566
GM.5.0.Homeodomain.0201	0.42398351936478035	1.124762652117467	2.249995415651572	2.1824775352345136	0.13377243705075623	0.7444180530860742	0.7937717712290864	1.1406893245810596	0.6552033775222821	0.06883319954065915	0.20444317877214127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3273287508888363	1.4920531949399933	0.08805585256934399
GM.5.0.Sox.0010	0.4743652294524032	0.20530372240211056	0.5651432656693074	0.6945679387350195	0.45816208943893516	1.6228893349619378	0.7062619576252998	0.6971401595887445	0.5131056230902211	-0.7780913123358657	-0.6795880065199401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GM.5.0.Forkhead.0048	0.8396118363482716	1.8557472127144468	1.6076671065013988	1.1601652630426844	0.992077286194471	1.8589570126463926	-0.3224947956004774	1.8286909106677376	0.2554053689076081	-0.7804285700586585	1.3279103386843054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9717942640436122	1.0703859876743431	0.044027926284671996
GM.5.0.Sox.0035	-2.062282164758471	-0.6542705294572915	0.024277694401293227	-1.3310525982596189	-0.17438443529368886	-2.0314552988976424	-0.21943778789154297	0.32832410836154696	-2.030826914956577	-1.1028443851853051	-0.26837162617415394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.422137947380896	1.4596172559195588	0.018869111264859427
GM.5.0.C2H2_ZF.0222	-2.1775574227616445	-0.46816805647518184	-0.4743372967011465	-1.765472502429332	-1.2997815702403681	-1.7832508419190953	-2.0282710106183597	-2.1166401709349385	-0.9404818966235197	-1.7757471215112142	-0.5160427443194215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.711068973690448	0.8757703535517353	0.018869111264859427
GM.5.0.CUT_Homeodomain.0010	0.43591625604039885	0.0662015203004381	-1.5368904742701128	-0.15409577293953686	-1.322323739025904	0.6214765449540043	-0.3952682095017878	-1.4104352581019113	0.1266364670557355	-1.5503034762569883	0.12785105285848763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7347712728134629	1.167693804735647	0.012579407509906283
GM.5.0.Homeodomain.0010	2.066361229674736	0.3029946898608213	0.7667076502136257	1.4114758838412513	1.288881601571537	1.6885009986753077	0.8373242026325539	1.5578425722785478	0.1088357053901859	0.8615527187400337	0.7707530530133146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8487793315951646	1.6217969510217323	0.056607333794578274
GM.5.0.AT_hook.0002	0.529761489547808	0.7890433056134127	1.2714690607471348	0.7183695548409589	1.0500909085119252	2.3385363115370765	1.478343166455645	0.9964798976732684	2.180786511553051	-0.34556051569562735	0.2925465280132537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9480919649205973	1.4271813168991243	0.03144851877476571
GM.5.0.Rel.0013	-0.6086174297348115	-0.1899751583950326	-0.6964714126081332	-1.761792874429991	-1.3136860253128586	-1.2547227391862867	0.533363758942826	-1.257724629359047	0.005734129470977393	-1.6295938217312336	0.4006519453550058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7347712728134629	1.265001621796951	0.018869111264859427
