# maelstrom - GimmeMotifs version 0.16.1
# method: mwu with motif score
# motif table: /home/ia1014/gimmemotifs/output/stratified.out/motif.nr.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	3' UTR	5' UTR	Distal Intergenic	Downstream (<1kb)	Downstream (1-2kb)	Downstream (2-3kb)	Exon	Intron	Promoter (<=1kb)	Promoter (1-2kb)	Promoter (2-3kb)
GM.5.0.Mixed.0047	0.021510213020029825	0.07097656312187288	3.1649685819330866	0.060019905646331244	-0.0	-0.0	0.11737688702293068	0.01611469988375429	-0.0	0.035691515826320186	0.0799274276214769
GM.5.0.GATA.0025	-0.0	-0.0	4.497361897615417	0.13319731260335496	0.7909752063471842	0.7020924814995492	-0.0	2.4372756086206366	-0.0	-0.0	0.8660068409705077
GM.5.0.C2H2_ZF.0233	-0.0	-0.0	0.7117571416217892	0.004655053736673237	0.3491350777890728	0.10063211148164078	-0.0	-0.0	-0.0	0.2547555737223723	0.308888562591132
GM.5.0.T-box.0014	0.22083769290339747	-0.0	-0.0	1.6981086965651917	0.008564115488850296	-0.0	0.2994325987160521	1.9143972933598854	-0.0	-0.0	0.06789542751391336
GM.5.0.C2H2_ZF.0283	0.031525146709981355	0.08768027291257365	-0.0	-0.0	-0.0	0.9772519846770964	-0.0	-0.0	77.19657686392117	2.0478618516099596	-0.0
GM.5.0.Forkhead.0026	0.18478416834584324	1.0245771975128402	0.32681534733578144	-0.0	-0.0	-0.0	0.0659202420852497	-0.0	0.14713087323557003	-0.0	-0.0
GM.5.0.C2H2_ZF.0138	-0.0	-0.0	-0.0	0.21243581024006447	0.292221162701896	-0.0	-0.0	-0.0	6.307812664757763	1.9341685444084793	0.3999331440311193
GM.5.0.bHLH.0096	0.04058345877439423	-0.0	0.20254628164091018	0.7472316899780761	0.06418749636134513	0.03603262101411969	0.3029417756128068	2.7374908311253354	-0.0	0.05137159767554199	-0.0
GM.5.0.Unknown.0040	0.07943011567632466	0.07465611407043612	-0.0	1.8004054378607606	1.3290242491543396	0.08768027291257365	-0.0	-0.0	11.827732305389837	0.7610182839099822	0.23323785880628076
GM.5.0.bHLH.0128	0.8041592638114203	0.672285545830264	-0.0	-0.0	0.3538675577473033	0.36296876193913036	-0.0	0.5736855873814586	-0.0	0.08903478853743042	0.21032789299510954
GM.5.0.Unknown.0128	-0.0	0.025720701152532038	-0.0	0.38970645926177894	0.5610285194625524	0.7138805887501507	-0.0	-0.0	126.88833438410603	0.12308783387735957	-0.0
GM.5.0.bHLH.0120	0.7944327463773695	-0.0	0.19682877760489148	0.10302726837093024	0.09877146591372839	0.12486000108748649	0.8630072585194656	12.188344310363567	-0.0	0.6808270102603904	0.20469627348627253
GM.5.0.bZIP.0060	0.10861478373439992	-0.0	-0.0	0.588342903803323	0.5783800307713081	0.8513729471713106	-0.0	0.3308852391466665	1.4239688775677106	0.9787452552138755	0.03669733163941281
GM.5.0.C2H2_ZF.0235	0.8963180197941671	0.34982401134241997	-0.0	0.030793857613790474	-0.0	0.14108254397780165	-0.0	-0.0	9.794266665221352	0.6554857860795184	-0.0
GM.5.0.C2H2_ZF.0280	0.20681252390326066	0.7987761781858282	2.416666474095884	-0.0	-0.0	0.03698749867959735	2.8891814274334355	7.215201003549753	-0.0	-0.0	-0.0
GM.5.0.Mixed.0020	-0.0	-0.0	-0.0	0.2274380771760282	-0.0	0.16738431615676655	0.2433053350778288	-0.0	46.160792326839804	0.6854289732775343	-0.0
GM.5.0.C2H2_ZF.0132	-0.0	-0.0	-0.0	0.02604699550894988	0.25898018869616407	0.0022146722183422718	-0.0	-0.0	131.37176051759673	0.17743957277348743	-0.0
GM.5.0.Mixed.0009	2.838681127976134	-0.0	-0.0	-0.0	0.07943011567632466	-0.0	0.7270522622642334	0.12951298228724262	2.7197703765012835	1.7995276725764457	0.23531845130160783
GM.5.0.C2H2_ZF.0076	-0.0	-0.0	-0.0	-0.0	-0.0	0.07931333708167289	0.08982055848467439	-0.0	1.204561544763921	0.10594635258775074	0.0017897563965586115
GM.5.0.Nuclear_receptor.0114	-0.0	-0.0	1.514262175518219	0.6818682694830309	0.3301180441261255	0.05989005461765507	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.bZIP.0031	-0.0	0.08768027291257365	0.43520480447540943	-0.0	-0.0	-0.0	-0.0	-0.0	4.217873380533242	0.19057444153079392	-0.0
GM.5.0.Unknown.0059	0.10063211148164078	0.07465611407043612	-0.0	-0.0	0.308888562591132	-0.0	1.1131742101153406	0.10909245290092259	0.2470040125977843	-0.0	0.12554329456788574
GM.5.0.bHLH.0075	0.08070855407373094	-0.0	41.894221699351725	0.06044687270188159	0.6160817147321627	0.14814630666128023	0.940195230725252	16.83854564575817	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0148	-0.0	0.03666747163616246	-0.0	-0.0	-0.0	-0.0	0.004655053736673237	-0.0	48.882458901829494	-0.0	-0.0
GM.5.0.T-box.0019	0.45605184642474716	0.09058625300951685	-0.0	-0.0	0.22689862813053926	-0.0	1.2599969051230229	-0.0	16.01906724355822	0.8777340430598176	0.48052392398672256
GM.5.0.Nuclear_receptor.0117	0.19057444153079392	0.03255918656898843	-0.0	-0.0	-0.0	0.688195900982845	0.06354273470707215	-0.0	11.30069361511728	0.8578069380240954	0.9324974248362402
GM.5.0.C2H2_ZF.0126	-0.0	-0.0	-0.0	0.6979655835436893	0.10624703399451918	0.3180451901717434	-0.0	0.209478046046186	9.440134811764162	0.46279551713687384	0.6081098511723598
GM.5.0.bZIP.0032	0.08703016756279713	0.21361490800461416	5.202452232169138	0.07931333708167289	-0.0	-0.0	0.19962052018655915	1.2435766170723634	-0.0	-0.0	-0.0
GM.5.0.Myb_SANT.0011	-0.0	-0.0	-0.0	-0.0	-0.0	0.5300008587887856	-0.0	-0.0	inf	3.7364846895424204	-0.0
GM.5.0.Nuclear_receptor.0049	-0.0	-0.0	-0.0	0.7704357949636377	0.12280557075280919	-0.0	-0.0	-0.0	4.808515470991505	-0.0	0.2646766206961069
GM.5.0.Zinc_cluster.0001	0.08903478853743042	-0.0	0.36127345714337794	-0.0	0.19057444153079392	-0.0	-0.0	2.1789377040906204	-0.0	-0.0	0.00390324826647317
GM.5.0.C2H2_ZF.0225	-0.0	-0.0	11.273632154605796	-0.0	0.3326703553106251	0.004663392566286954	-0.0	3.1852072160564004	-0.0	-0.0	0.6510567320900794
GM.5.0.Unknown.0015	-0.0	0.02819150679241644	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	59.30662400233481	-0.0	-0.0
GM.5.0.Unknown.0123	-0.0	0.31366130467825076	1.6589145921575685	0.7388739046821278	-0.0	0.3789391205343626	2.457786595882694	-0.0	-0.0	-0.0	0.2512884474050075
GM.5.0.C2H2_ZF.0129	-0.0	0.1845379638207358	8.18558858539986	0.42611493953598645	0.32782196558707594	0.6414784396341879	-0.0	0.01071477647082102	-0.0	0.21541592594753642	-0.0
GM.5.0.C2H2_ZF.0302	-0.0	0.09994529442720501	-0.0	0.11600638264397953	0.2016109585412936	-0.0	-0.0	-0.0	13.664490476154835	1.3590110111915508	0.23898027147982168
GM.5.0.Nuclear_receptor.0100	0.5536795691247631	-0.0	14.585645923378683	-0.0	-0.0	-0.0	-0.0	1.7840586333268549	-0.0	-0.0	0.031525146709981355
GM.5.0.Mixed.0072	0.023493178038696532	-0.0	0.6414784396341879	-0.0	0.21040472953090328	-0.0	-0.0	0.308888562591132	-0.0	0.05270617960626197	0.052504951242987805
GM.5.0.Unknown.0117	0.05494588052359749	0.025720701152532038	4.122784451151366	-0.0	-0.0	-0.0	0.6492336689219574	5.152335909093499	-0.0	-0.0	0.023545646862788375
GM.5.0.Nuclear_receptor.0101	-0.0	-0.0	-0.0	0.19412314725379745	0.3424345530719009	0.35775478634169117	-0.0	-0.0	6.212962695918284	0.6861587721058632	-0.0
GM.5.0.C2H2_ZF.0298	-0.0	0.5941776969748143	-0.0	0.0128589021432238	-0.0	-0.0	0.39960527353129555	-0.0	9.481037538287325	-0.0	-0.0
GM.5.0.Unknown.0202	0.20756843756697865	-0.0	5.474526962490024	-0.0	-0.0	-0.0	-0.0	0.9630027492433479	-0.0	0.26589594366514624	0.0029557568783098284
GM.5.0.Mixed.0007	0.030793857613790474	-0.0	9.461402265101668	-0.0	0.286423916084888	0.2782197898240516	0.1493760487192147	21.004246788420183	-0.0	-0.0	-0.0
GM.5.0.STAT.0013	-0.0	0.2390149524945915	1.0172505524255402	-0.0	0.013818152737868234	0.033455605015851396	-0.0	-0.0	1.6366916100742706	0.056735218424011476	0.5121059940298768
GM.5.0.Nuclear_receptor.0088	-0.0	0.05590110949356059	-0.0	0.04604685692729393	0.2512884474050075	-0.0	-0.0	-0.0	25.001500657788906	2.0599012826160594	0.09966443985284382
GM.5.0.Mixed.0100	0.2192512836676359	-0.0	0.0799274276214769	0.2273413136210158	-0.0	0.3395526334444043	0.004801797911754755	0.08768027291257365	-0.0	0.01611469988375429	0.3412157327681135
GM.5.0.C2H2_ZF.0224	-0.0	0.12425097056439424	0.3990619325770721	0.6472868388511271	-0.0	0.21361490800461416	-0.0	0.3548696713004883	-0.0	-0.0	0.034424682414456065
