# maelstrom - GimmeMotifs version 0.16.1
# method: hypergeom with motif count
# motif table: /home/ia1014/gimmemotifs/output/stratified.out/motif.nr.count.txt.gz
# activity values: -log10-transformed, BH-corrected hypergeometric p-values
	3' UTR	5' UTR	Distal Intergenic	Downstream (<1kb)	Downstream (1-2kb)	Downstream (2-3kb)	Exon	Intron	Promoter (<=1kb)	Promoter (1-2kb)	Promoter (2-3kb)
GM.5.0.bZIP.0021	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	42.53484014473109	14.794089679534077
GM.5.0.Unknown.0072	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.Forkhead.0057	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	19.872078736006117	15.838030328916881
GM.5.0.C2H2_ZF.0012	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	101.44323835954854	83.30982275566654
GM.5.0.Homeodomain_POU.0024	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	50.0074334215362	26.18206658170338
GM.5.0.Unknown.0094	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	32.47860109403223	28.05340062797288
GM.5.0.C2H2_ZF.0278	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	39.72277442623558	22.687089730547285
GM.5.0.Unknown.0141	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	80.86650152939006	38.59466986817989
GM.5.0.Grainyhead.0006	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	45.65858218969941	17.178017274848045
GM.5.0.SMAD.0007	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	34.50687545041038	40.263916580138996
GM.5.0.C2H2_ZF.0010	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	45.66469989054703	30.62609960528109
GM.5.0.Ets.0032	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	22.93683956379673	15.872803677940277
GM.5.0.Nuclear_receptor.0118	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	22.915983274014422	16.38038462679872
GM.5.0.Unknown.0105	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	53.482145168562255	20.749350126941906
GM.5.0.Unknown.0005	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	56.10930208372998	30.059221294753623
GM.5.0.Homeodomain.0118	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.ARID_BRIGHT.0005	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.TEA.0002	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	38.7797292317776	30.01243875180038
GM.5.0.GATA.0006	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	26.63682862791636	35.45881590092999
